case_id,activity,timestamp,lifecycle,resource,priority,decision,decision_time,activity_priority,system_time
Chamadas_0,Arrival,0.0,complete,,0.0,,,,
Chamadas_0,DecideTronco_Atender,0.0,complete,,,Atender,0.0,,
Chamadas_0,Atendimento,0.0,start,Troncos,0.0,,,,
Chamadas_0,Atendimento,0.227906286742828,complete,Troncos,0.0,,,,
Chamadas_0,Discharge,0.227906286742828,complete,,,,,,0.227906286742828
Chamadas_1,Arrival,0.003585626226019517,complete,,0.0,,,,
Chamadas_1,DecideTronco_Atender,0.003585626226019517,complete,,,Atender,0.003585626226019517,,
Chamadas_1,Atendimento,0.003585626226019517,start,Troncos,0.0,,,,
Chamadas_1,Atendimento,0.8111118364297829,complete,Troncos,0.0,,,,
Chamadas_1,Discharge,0.8111118364297829,complete,,,,,,0.8075262102037634
Chamadas_10,Arrival,0.5460800192590536,complete,,0.0,,,,
Chamadas_10,DecideTronco_Atender,0.5460800192590536,complete,,,Atender,0.5460800192590536,,
Chamadas_10,Atendimento,0.5460800192590536,start,Troncos,0.0,,,,
Chamadas_10,Atendimento,0.946558057680214,complete,Troncos,0.0,,,,
Chamadas_10,Discharge,0.946558057680214,complete,,,,,,0.40047803842116036
Chamadas_100,Arrival,6.86265198047062,complete,,0.0,,,,
Chamadas_100,DecideTronco_Atender,6.86265198047062,complete,,,Atender,6.86265198047062,,
Chamadas_100,Atendimento,6.86265198047062,start,Troncos,0.0,,,,
Chamadas_100,Atendimento,9.947112494013643,complete,Troncos,0.0,,,,
Chamadas_100,Discharge,9.947112494013643,complete,,,,,,3.084460513543023
Chamadas_101,Arrival,6.9142042706243965,complete,,0.0,,,,
Chamadas_101,DecideTronco_Atender,6.9142042706243965,complete,,,Atender,6.9142042706243965,,
Chamadas_101,Atendimento,6.9142042706243965,start,Troncos,0.0,,,,
Chamadas_101,Atendimento,8.677633255709704,complete,Troncos,0.0,,,,
Chamadas_101,Discharge,8.677633255709704,complete,,,,,,1.7634289850853078
Chamadas_102,Arrival,6.941766518298366,complete,,0.0,,,,
Chamadas_102,DecideTronco_Atender,6.941766518298366,complete,,,Atender,6.941766518298366,,
Chamadas_102,Atendimento,6.941766518298366,start,Troncos,0.0,,,,
Chamadas_102,Atendimento,7.331856311570558,complete,Troncos,0.0,,,,
Chamadas_102,Discharge,7.331856311570558,complete,,,,,,0.3900897932721916
Chamadas_103,Arrival,6.986764703586344,complete,,0.0,,,,
Chamadas_103,DecideTronco_Aguarda,6.986764703586344,complete,,,Aguarda,6.986764703586344,,
Chamadas_103,DecideTronco30_Perdida,6.986764703586344,complete,,,Perdida,6.986764703586344,,
Chamadas_103,Discharge,6.986764703586344,complete,,,,,,0.0
Chamadas_104,Arrival,6.994139371116375,complete,,0.0,,,,
Chamadas_104,DecideTronco_Aguarda,6.994139371116375,complete,,,Aguarda,6.994139371116375,,
Chamadas_104,DecideTronco30_NovaTentativa,6.994139371116375,complete,,,NovaTentativa,6.994139371116375,,
Chamadas_104,Espera,6.994139371116375,start,,0.0,,,,
Chamadas_104,Espera,7.160806037783042,complete,,0.0,,,,
Chamadas_104,DecideTronco_Atender,7.160806037783042,complete,,,Atender,7.160806037783042,,
Chamadas_104,Atendimento,7.160806037783042,start,Troncos,0.0,,,,
Chamadas_104,Atendimento,14.179654125451542,complete,Troncos,0.0,,,,
Chamadas_104,Discharge,14.179654125451542,complete,,,,,,7.185514754335167
Chamadas_105,Arrival,7.05099859856378,complete,,0.0,,,,
Chamadas_105,DecideTronco_Aguarda,7.05099859856378,complete,,,Aguarda,7.05099859856378,,
Chamadas_105,DecideTronco30_Perdida,7.05099859856378,complete,,,Perdida,7.05099859856378,,
Chamadas_105,Discharge,7.05099859856378,complete,,,,,,0.0
Chamadas_106,Arrival,7.095641778560076,complete,,0.0,,,,
Chamadas_106,DecideTronco_Aguarda,7.095641778560076,complete,,,Aguarda,7.095641778560076,,
Chamadas_106,DecideTronco30_NovaTentativa,7.095641778560076,complete,,,NovaTentativa,7.095641778560076,,
Chamadas_106,Espera,7.095641778560076,start,,0.0,,,,
Chamadas_106,Espera,7.262308445226743,complete,,0.0,,,,
Chamadas_106,DecideTronco_Aguarda,7.262308445226743,complete,,,Aguarda,7.262308445226743,,
Chamadas_106,DecideTronco30_NovaTentativa,7.262308445226743,complete,,,NovaTentativa,7.262308445226743,,
Chamadas_106,Espera,7.262308445226743,start,,0.0,,,,
Chamadas_106,Espera,7.4289751118934095,complete,,0.0,,,,
Chamadas_106,DecideTronco_Atender,7.4289751118934095,complete,,,Atender,7.4289751118934095,,
Chamadas_106,Atendimento,7.4289751118934095,start,Troncos,0.0,,,,
Chamadas_106,Atendimento,7.506468959784155,complete,Troncos,0.0,,,,
Chamadas_106,Discharge,7.506468959784155,complete,,,,,,0.4108271812240796
Chamadas_107,Arrival,7.161411241979198,complete,,0.0,,,,
Chamadas_107,DecideTronco_Aguarda,7.161411241979198,complete,,,Aguarda,7.161411241979198,,
Chamadas_107,DecideTronco30_Perdida,7.161411241979198,complete,,,Perdida,7.161411241979198,,
Chamadas_107,Discharge,7.161411241979198,complete,,,,,,0.0
Chamadas_108,Arrival,7.188894711888857,complete,,0.0,,,,
Chamadas_108,DecideTronco_Aguarda,7.188894711888857,complete,,,Aguarda,7.188894711888857,,
Chamadas_108,DecideTronco30_NovaTentativa,7.188894711888857,complete,,,NovaTentativa,7.188894711888857,,
Chamadas_108,Espera,7.188894711888857,start,,0.0,,,,
Chamadas_108,Espera,7.355561378555524,complete,,0.0,,,,
Chamadas_108,DecideTronco_Atender,7.355561378555524,complete,,,Atender,7.355561378555524,,
Chamadas_108,Atendimento,7.355561378555524,start,Troncos,0.0,,,,
Chamadas_108,Atendimento,8.46887098723943,complete,Troncos,0.0,,,,
Chamadas_108,Discharge,8.46887098723943,complete,,,,,,1.279976275350574
Chamadas_109,Arrival,7.275886939109438,complete,,0.0,,,,
Chamadas_109,DecideTronco_Aguarda,7.275886939109438,complete,,,Aguarda,7.275886939109438,,
Chamadas_109,DecideTronco30_NovaTentativa,7.275886939109438,complete,,,NovaTentativa,7.275886939109438,,
Chamadas_109,Espera,7.275886939109438,start,,0.0,,,,
Chamadas_109,Espera,7.442553605776105,complete,,0.0,,,,
Chamadas_109,DecideTronco_Atender,7.442553605776105,complete,,,Atender,7.442553605776105,,
Chamadas_109,Atendimento,7.442553605776105,start,Troncos,0.0,,,,
Chamadas_109,Atendimento,8.351247440099293,complete,Troncos,0.0,,,,
Chamadas_109,Discharge,8.351247440099293,complete,,,,,,1.0753605009898548
Chamadas_11,Arrival,0.5773625881205575,complete,,0.0,,,,
Chamadas_11,DecideTronco_Atender,0.5773625881205575,complete,,,Atender,0.5773625881205575,,
Chamadas_11,Atendimento,0.5773625881205575,start,Troncos,0.0,,,,
Chamadas_11,Atendimento,0.9503275213010909,complete,Troncos,0.0,,,,
Chamadas_11,Discharge,0.9503275213010909,complete,,,,,,0.37296493318053336
Chamadas_110,Arrival,7.288087636662045,complete,,0.0,,,,
Chamadas_110,DecideTronco_Aguarda,7.288087636662045,complete,,,Aguarda,7.288087636662045,,
Chamadas_110,DecideTronco30_Perdida,7.288087636662045,complete,,,Perdida,7.288087636662045,,
Chamadas_110,Discharge,7.288087636662045,complete,,,,,,0.0
Chamadas_111,Arrival,7.3071798084853565,complete,,0.0,,,,
Chamadas_111,DecideTronco_Aguarda,7.3071798084853565,complete,,,Aguarda,7.3071798084853565,,
Chamadas_111,DecideTronco30_Perdida,7.3071798084853565,complete,,,Perdida,7.3071798084853565,,
Chamadas_111,Discharge,7.3071798084853565,complete,,,,,,0.0
Chamadas_112,Arrival,7.578646188847052,complete,,0.0,,,,
Chamadas_112,DecideTronco_Atender,7.578646188847052,complete,,,Atender,7.578646188847052,,
Chamadas_112,Atendimento,7.578646188847052,start,Troncos,0.0,,,,
Chamadas_112,Atendimento,7.645059295334621,complete,Troncos,0.0,,,,
Chamadas_112,Discharge,7.645059295334621,complete,,,,,,0.06641310648756882
Chamadas_113,Arrival,7.693777350721175,complete,,0.0,,,,
Chamadas_113,DecideTronco_Atender,7.693777350721175,complete,,,Atender,7.693777350721175,,
Chamadas_113,Atendimento,7.693777350721175,start,Troncos,0.0,,,,
Chamadas_113,Atendimento,13.873117211009413,complete,Troncos,0.0,,,,
Chamadas_113,Discharge,13.873117211009413,complete,,,,,,6.179339860288239
Chamadas_114,Arrival,7.722310723775631,complete,,0.0,,,,
Chamadas_114,DecideTronco_Atender,7.722310723775631,complete,,,Atender,7.722310723775631,,
Chamadas_114,Atendimento,7.722310723775631,start,Troncos,0.0,,,,
Chamadas_114,Atendimento,8.183218103588548,complete,Troncos,0.0,,,,
Chamadas_114,Discharge,8.183218103588548,complete,,,,,,0.46090737981291685
Chamadas_115,Arrival,7.751695516790806,complete,,0.0,,,,
Chamadas_115,DecideTronco_Atender,7.751695516790806,complete,,,Atender,7.751695516790806,,
Chamadas_115,Atendimento,7.751695516790806,start,Troncos,0.0,,,,
Chamadas_115,Atendimento,7.771902400773518,complete,Troncos,0.0,,,,
Chamadas_115,Discharge,7.771902400773518,complete,,,,,,0.020206883982711865
Chamadas_116,Arrival,7.754898448985762,complete,,0.0,,,,
Chamadas_116,DecideTronco_Atender,7.754898448985762,complete,,,Atender,7.754898448985762,,
Chamadas_116,Atendimento,7.754898448985762,start,Troncos,0.0,,,,
Chamadas_116,Atendimento,7.887422827017912,complete,Troncos,0.0,,,,
Chamadas_116,Discharge,7.887422827017912,complete,,,,,,0.13252437803214967
Chamadas_117,Arrival,7.799276050761257,complete,,0.0,,,,
Chamadas_117,DecideTronco_Atender,7.799276050761257,complete,,,Atender,7.799276050761257,,
Chamadas_117,Atendimento,7.799276050761257,start,Troncos,0.0,,,,
Chamadas_117,Atendimento,8.80737022664836,complete,Troncos,0.0,,,,
Chamadas_117,Discharge,8.80737022664836,complete,,,,,,1.008094175887102
Chamadas_118,Arrival,7.825884039455792,complete,,0.0,,,,
Chamadas_118,DecideTronco_Atender,7.825884039455792,complete,,,Atender,7.825884039455792,,
Chamadas_118,Atendimento,7.825884039455792,start,Troncos,0.0,,,,
Chamadas_118,Atendimento,8.420432120578997,complete,Troncos,0.0,,,,
Chamadas_118,Discharge,8.420432120578997,complete,,,,,,0.5945480811232056
Chamadas_119,Arrival,7.855540198779052,complete,,0.0,,,,
Chamadas_119,DecideTronco_Atender,7.855540198779052,complete,,,Atender,7.855540198779052,,
Chamadas_119,Atendimento,7.855540198779052,start,Troncos,0.0,,,,
Chamadas_119,Atendimento,11.868419363763781,complete,Troncos,0.0,,,,
Chamadas_119,Discharge,11.868419363763781,complete,,,,,,4.012879164984729
Chamadas_12,Arrival,0.6917529592441716,complete,,0.0,,,,
Chamadas_12,DecideTronco_Atender,0.6917529592441716,complete,,,Atender,0.6917529592441716,,
Chamadas_12,Atendimento,0.6917529592441716,start,Troncos,0.0,,,,
Chamadas_12,Atendimento,1.9121871246588922,complete,Troncos,0.0,,,,
Chamadas_12,Discharge,1.9121871246588922,complete,,,,,,1.2204341654147206
Chamadas_120,Arrival,7.934140689955035,complete,,0.0,,,,
Chamadas_120,DecideTronco_Atender,7.934140689955035,complete,,,Atender,7.934140689955035,,
Chamadas_120,Atendimento,7.934140689955035,start,Troncos,0.0,,,,
Chamadas_120,Atendimento,9.120300374058118,complete,Troncos,0.0,,,,
Chamadas_120,Discharge,9.120300374058118,complete,,,,,,1.1861596841030835
Chamadas_121,Arrival,8.10374824001042,complete,,0.0,,,,
Chamadas_121,DecideTronco_Atender,8.10374824001042,complete,,,Atender,8.10374824001042,,
Chamadas_121,Atendimento,8.10374824001042,start,Troncos,0.0,,,,
Chamadas_121,Atendimento,9.020785397749737,complete,Troncos,0.0,,,,
Chamadas_121,Discharge,9.020785397749737,complete,,,,,,0.9170371577393173
Chamadas_122,Arrival,8.136983766344105,complete,,0.0,,,,
Chamadas_122,DecideTronco_Atender,8.136983766344105,complete,,,Atender,8.136983766344105,,
Chamadas_122,Atendimento,8.136983766344105,start,Troncos,0.0,,,,
Chamadas_122,Atendimento,9.31237119649016,complete,Troncos,0.0,,,,
Chamadas_122,Discharge,9.31237119649016,complete,,,,,,1.1753874301460545
Chamadas_123,Arrival,8.141329548456381,complete,,0.0,,,,
Chamadas_123,DecideTronco_Atender,8.141329548456381,complete,,,Atender,8.141329548456381,,
Chamadas_123,Atendimento,8.141329548456381,start,Troncos,0.0,,,,
Chamadas_123,Atendimento,8.817886427425396,complete,Troncos,0.0,,,,
Chamadas_123,Discharge,8.817886427425396,complete,,,,,,0.6765568789690146
Chamadas_124,Arrival,8.187550994667879,complete,,0.0,,,,
Chamadas_124,DecideTronco_Atender,8.187550994667879,complete,,,Atender,8.187550994667879,,
Chamadas_124,Atendimento,8.187550994667879,start,Troncos,0.0,,,,
Chamadas_124,Atendimento,12.20242751857852,complete,Troncos,0.0,,,,
Chamadas_124,Discharge,12.20242751857852,complete,,,,,,4.014876523910642
Chamadas_125,Arrival,8.249470479790038,complete,,0.0,,,,
Chamadas_125,DecideTronco_Atender,8.249470479790038,complete,,,Atender,8.249470479790038,,
Chamadas_125,Atendimento,8.249470479790038,start,Troncos,0.0,,,,
Chamadas_125,Atendimento,8.750595835119677,complete,Troncos,0.0,,,,
Chamadas_125,Discharge,8.750595835119677,complete,,,,,,0.5011253553296395
Chamadas_126,Arrival,8.265015878427006,complete,,0.0,,,,
Chamadas_126,DecideTronco_Atender,8.265015878427006,complete,,,Atender,8.265015878427006,,
