case_id,activity,timestamp,lifecycle,resource,priority,decision,decision_time,activity_priority,system_time
Chamada_1,Arrival,0.0,complete,,0.0,,,,
Chamada_1,DecideTronco_Atender,0.0,complete,,,Atender,0.0,,
Chamada_1,Atendimento,0.0,start,Troncos,0.0,,,,
Chamada_1,Atendimento,0.227906286742828,complete,Troncos,0.0,,,,
Chamada_1,Discharge,0.227906286742828,complete,,,,,,0.227906286742828
Chamada_10,Arrival,0.46910228542714594,complete,,0.0,,,,
Chamada_10,DecideTronco_Atender,0.46910228542714594,complete,,,Atender,0.46910228542714594,,
Chamada_10,Atendimento,0.46910228542714594,start,Troncos,0.0,,,,
Chamada_10,Atendimento,4.885445106854321,complete,Troncos,0.0,,,,
Chamada_10,Discharge,4.885445106854321,complete,,,,,,4.4163428214271745
Chamada_100,Arrival,6.752634106111274,complete,,0.0,,,,
Chamada_100,DecideTronco_Atender,6.752634106111274,complete,,,Atender,6.752634106111274,,
Chamada_100,Atendimento,6.752634106111274,start,Troncos,0.0,,,,
Chamada_100,Atendimento,7.4213895021152485,complete,Troncos,0.0,,,,
Chamada_100,Discharge,7.4213895021152485,complete,,,,,,0.6687553960039745
Chamada_101,Arrival,6.86265198047062,complete,,0.0,,,,
Chamada_101,DecideTronco_Atender,6.86265198047062,complete,,,Atender,6.86265198047062,,
Chamada_101,Atendimento,6.86265198047062,start,Troncos,0.0,,,,
Chamada_101,Atendimento,9.947112494013643,complete,Troncos,0.0,,,,
Chamada_101,Discharge,9.947112494013643,complete,,,,,,3.084460513543023
Chamada_102,Arrival,6.9142042706243965,complete,,0.0,,,,
Chamada_102,DecideTronco_Atender,6.9142042706243965,complete,,,Atender,6.9142042706243965,,
Chamada_102,Atendimento,6.9142042706243965,start,Troncos,0.0,,,,
Chamada_102,Atendimento,8.677633255709704,complete,Troncos,0.0,,,,
Chamada_102,Discharge,8.677633255709704,complete,,,,,,1.7634289850853078
Chamada_103,Arrival,6.941766518298366,complete,,0.0,,,,
Chamada_103,DecideTronco_Atender,6.941766518298366,complete,,,Atender,6.941766518298366,,
Chamada_103,Atendimento,6.941766518298366,start,Troncos,0.0,,,,
Chamada_103,Atendimento,7.331856311570558,complete,Troncos,0.0,,,,
Chamada_103,Discharge,7.331856311570558,complete,,,,,,0.3900897932721916
Chamada_104,Arrival,6.986764703586344,complete,,0.0,,,,
Chamada_104,DecideTronco_Aguarda,6.986764703586344,complete,,,Aguarda,6.986764703586344,,
